Pid      Process              Block      Variable                       Value
-------- -------------------- ---------- ------------------------------ -----
     500 smss.exe             0x00100000 CommonProgramFiles             
     500 smss.exe             0x00100000 Path                           C:\WINDOWS\System32
     500 smss.exe             0x00100000 ProgramFiles                   
     500 smss.exe             0x00100000 SystemDrive                    C:
     500 smss.exe             0x00100000 SystemRoot                     C:\WINDOWS
     564 csrss.exe            0x00100000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     564 csrss.exe            0x00100000 FP_NO_HOST_CHECK               NO
     564 csrss.exe            0x00100000 NUMBER_OF_PROCESSORS           1
     564 csrss.exe            0x00100000 OS                             Windows_NT
     564 csrss.exe            0x00100000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     564 csrss.exe            0x00100000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     564 csrss.exe            0x00100000 PROCESSOR_ARCHITECTURE         x86
     564 csrss.exe            0x00100000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
     564 csrss.exe            0x00100000 PROCESSOR_LEVEL                6
     564 csrss.exe            0x00100000 PROCESSOR_REVISION             4501
     564 csrss.exe            0x00100000 SystemDrive                    C:
     564 csrss.exe            0x00100000 SystemRoot                     C:\WINDOWS
     564 csrss.exe            0x00100000 TEMP                           C:\WINDOWS\TEMP
     564 csrss.exe            0x00100000 TMP                            C:\WINDOWS\TEMP
     564 csrss.exe            0x00100000 windir                         C:\WINDOWS
     588 winlogon.exe         0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
     588 winlogon.exe         0x00010000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
     588 winlogon.exe         0x00010000 CommonProgramFiles             C:\Program Files\Common Files
     588 winlogon.exe         0x00010000 COMPUTERNAME                   XPBASELINE
     588 winlogon.exe         0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     588 winlogon.exe         0x00010000 FP_NO_HOST_CHECK               NO
     588 winlogon.exe         0x00010000 LOGONSERVER                    \\XPBASELINE
     588 winlogon.exe         0x00010000 NUMBER_OF_PROCESSORS           1
     588 winlogon.exe         0x00010000 OS                             Windows_NT
     588 winlogon.exe         0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     588 winlogon.exe         0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     588 winlogon.exe         0x00010000 PROCESSOR_ARCHITECTURE         x86
     588 winlogon.exe         0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
     588 winlogon.exe         0x00010000 PROCESSOR_LEVEL                6
     588 winlogon.exe         0x00010000 PROCESSOR_REVISION             4501
     588 winlogon.exe         0x00010000 ProgramFiles                   C:\Program Files
     588 winlogon.exe         0x00010000 SystemDrive                    C:
     588 winlogon.exe         0x00010000 SystemRoot                     C:\WINDOWS
     588 winlogon.exe         0x00010000 TEMP                           C:\WINDOWS\TEMP
     588 winlogon.exe         0x00010000 TMP                            C:\WINDOWS\TEMP
     588 winlogon.exe         0x00010000 USERPROFILE                    C:\Documents and Settings\Administrator
     588 winlogon.exe         0x00010000 windir                         C:\WINDOWS
     632 services.exe         0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
     632 services.exe         0x00010000 CommonProgramFiles             C:\Program Files\Common Files
     632 services.exe         0x00010000 COMPUTERNAME                   XPBASELINE
     632 services.exe         0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     632 services.exe         0x00010000 FP_NO_HOST_CHECK               NO
     632 services.exe         0x00010000 NUMBER_OF_PROCESSORS           1
     632 services.exe         0x00010000 OS                             Windows_NT
     632 services.exe         0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
